age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
34,married,Bachelor Degree,Male,12,15-20 kms,Company Website,7,29-03-2015,04-05-2015,74,5,Lateral,No,10,No,No
37,married,Bachelor Degree,Male,15,> 20 kms,Job Portals,5,03-08-2015,01-11-2015,71,6,Vertical,No,13,No,No
38,married,Associate Certification,Male,13,15-20 kms,Social Media,10,03-12-2015,13-01-2016,37,8,Vertical,No,14,Yes,No
43,married,Associate Degree,Male,24,> 20 kms,Consultants,3,13-01-2016,23-04-2016,16,7,Lateral,Yes,19,No,Yes
44,married,Bachelor Degree,Male,10,> 20 kms,Consultants,6,31-05-2015,22-08-2015,63,8,Lateral,No,20,No,No
38,married,Bachelor Degree,Male,14,<15 kms,Job Portals,4,03-07-2015,30-08-2015,32,6,Vertical,No,14,Yes,No
26,married,Associate Degree,Male,10,15-20 kms,Job Portals,6,25-11-2015,12-02-2016,95,2,Vertical,No,2,No,No
28,divorced,Bachelor Degree,Male,22,> 20 kms,Internal Referrals,3,26-08-2015,02-11-2015,20,3,Lateral,Yes,4,Yes,Yes
32,married,Associate Degree,Male,20,<15 kms,Internal Referrals,3,07-10-2015,19-12-2015,22,7,Lateral,No,8,Yes,Yes
28,married,Bachelor Degree,Male,26,> 20 kms,Consultants,3,10-01-2016,18-04-2016,28,5,Lateral,Yes,4,No,Yes
46,single,Bachelor Degree,Male,25,> 20 kms,Internal Referrals,10,16-11-2015,07-01-2016,29,7,Lateral,No,22,Yes,Yes
37,married,Associate Certification,Male,21,<15 kms,Company Website,3,23-07-2015,05-11-2015,20,6,Lateral,No,13,Yes,Yes
44,divorced,Associate Certification,Male,21,15-20 kms,Job Portals,3,15-02-2016,19-04-2016,62,5,Lateral,Yes,20,Yes,No
36,married,Associate Certification,Male,10,> 20 kms,Job Portals,3,02-08-2015,10-10-2015,55,6,Lateral,Yes,12,No,No
36,single,Associate Certification,Male,22,15-20 kms,Social Media,3,29-07-2015,08-10-2015,24,3,Lateral,No,8,Yes,Yes
39,married,Master Degree,Male,25,> 20 kms,Social Media,9,02-12-2015,23-02-2016,47,4,Vertical,Yes,15,Yes,No
41,divorced,Bachelor Degree,Male,23,> 20 kms,Social Media,7,12-12-2015,13-03-2016,21,5,Lateral,Yes,17,Yes,Yes
35,married,Associate Certification,Male,10,<15 kms,Social Media,3,22-01-2016,20-03-2016,55,7,Vertical,Yes,11,No,No
30,married,Associate Certification,Male,30,<15 kms,Consultants,10,22-01-2016,24-04-2016,16,4,Lateral,Yes,6,No,Yes
36,single,Master Degree,Male,15,<15 kms,Job Portals,9,11-08-2015,24-09-2015,73,4,Vertical,No,12,Yes,No
38,married,Bachelor Degree,Male,22,15-20 kms,Social Media,9,24-03-2016,21-06-2016,25,4,Lateral,No,14,No,Yes
36,single,Bachelor Degree,Male,17,15-20 kms,Company Website,10,17-11-2015,28-02-2016,19,4,Lateral,Yes,12,Yes,Yes
37,divorced,Associate Certification,Male,16,15-20 kms,Internal Referrals,3,01-08-2015,18-11-2015,23,7,Lateral,No,13,Yes,Yes
30,married,Associate Certification,Male,15,<15 kms,Social Media,8,21-12-2015,23-02-2016,75,3,Lateral,No,6,No,No
38,divorced,Bachelor Degree,Male,23,> 20 kms,Consultants,3,19-10-2015,01-02-2016,28,4,Lateral,No,8,Yes,Yes
25,married,Associate Certification,Male,24,> 20 kms,Internal Referrals,8,11-08-2015,08-10-2015,28,1,Lateral,No,1,Yes,Yes
45,married,Associate Degree,Male,15,15-20 kms,Job Portals,9,03-08-2015,10-10-2015,59,3,Lateral,No,21,Yes,No
32,married,Associate Degree,Male,13,> 20 kms,Job Portals,7,25-03-2016,29-05-2016,55,7,Lateral,No,8,No,No
40,divorced,Associate Certification,Male,15,> 20 kms,Company Website,4,06-03-2015,10-06-2015,69,8,Vertical,No,16,Yes,No
38,married,Associate Certification,Male,24,15-20 kms,Consultants,8,27-11-2015,04-01-2016,47,3,Lateral,No,14,Yes,No
28,single,Associate Certification,Male,29,<15 kms,Job Portals,3,28-12-2015,09-04-2016,26,3,Lateral,No,4,No,Yes
44,married,Associate Certification,Male,25,<15 kms,Company Website,3,31-03-2015,26-05-2015,22,8,Lateral,Yes,20,Yes,Yes
41,single,Associate Degree,Male,27,<15 kms,Consultants,7,01-02-2016,21-05-2016,29,4,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Male,27,> 20 kms,Company Website,3,11-09-2015,22-12-2015,17,5,Lateral,No,7,No,Yes
46,married,Associate Degree,Male,16,<15 kms,Consultants,8,14-12-2015,16-03-2016,38,4,Vertical,Yes,22,Yes,No
32,single,Associate Degree,Male,23,15-20 kms,Job Portals,9,27-03-2016,24-06-2016,24,7,Lateral,No,8,Yes,Yes
30,married,Associate Degree,Male,21,15-20 kms,Internal Referrals,3,15-08-2015,13-10-2015,23,5,Lateral,No,6,No,Yes
42,married,Master Degree,Male,25,15-20 kms,Job Portals,3,18-02-2016,23-04-2016,50,7,Lateral,Yes,18,Yes,No
35,married,Associate Degree,Male,29,<15 kms,Internal Referrals,3,27-06-2015,08-09-2015,17,7,Lateral,No,11,No,Yes
35,married,Associate Certification,Male,11,> 20 kms,Company Website,3,27-03-2015,13-05-2015,36,8,Lateral,No,11,Yes,No
34,married,Master Degree,Male,15,> 20 kms,Job Portals,5,15-02-2016,01-05-2016,64,7,Lateral,Yes,10,Yes,No
31,divorced,Associate Degree,Male,17,> 20 kms,Social Media,8,10-09-2015,20-12-2015,20,4,Lateral,Yes,7,No,Yes
29,married,Bachelor Degree,Male,15,> 20 kms,Company Website,3,19-08-2015,09-11-2015,61,3,Vertical,Yes,5,Yes,No
37,married,Bachelor Degree,Male,19,> 20 kms,Social Media,4,26-07-2015,18-10-2015,20,5,Lateral,Yes,13,Yes,Yes
42,single,Associate Degree,Male,15,> 20 kms,Social Media,4,19-03-2015,21-04-2015,94,7,Lateral,No,18,No,No
46,married,Associate Certification,Male,10,<15 kms,Job Portals,8,26-11-2015,01-01-2016,36,3,Lateral,Yes,22,Yes,No
46,married,Associate Certification,Male,14,> 20 kms,Social Media,5,19-02-2016,06-05-2016,63,8,Vertical,No,22,Yes,No
43,married,Associate Certification,Male,10,15-20 kms,Job Portals,3,23-01-2016,24-03-2016,27,4,Lateral,No,19,Yes,No
29,married,Associate Degree,Male,19,15-20 kms,Internal Referrals,10,28-01-2016,21-05-2016,15,3,Lateral,Yes,5,No,Yes
45,married,Associate Certification,Male,14,<15 kms,Job Portals,3,13-09-2015,11-11-2015,91,7,Vertical,No,21,Yes,No
41,single,Associate Certification,Male,10,<15 kms,Job Portals,4,31-10-2015,07-01-2016,25,7,Vertical,No,17,Yes,No
44,married,Master Degree,Male,15,15-20 kms,Job Portals,3,18-03-2015,23-06-2015,56,4,Lateral,No,20,Yes,No
42,married,Bachelor Degree,Male,24,15-20 kms,Internal Referrals,4,05-07-2015,02-10-2015,25,3,Lateral,No,7,Yes,Yes
29,single,Associate Certification,Male,20,<15 kms,Job Portals,4,13-02-2016,03-06-2016,28,4,Lateral,No,5,Yes,Yes
26,married,Associate Certification,Male,16,> 20 kms,Job Portals,4,29-06-2015,20-10-2015,26,2,Lateral,Yes,2,No,Yes
33,single,Master Degree,Male,16,> 20 kms,Social Media,10,17-08-2015,23-10-2015,28,7,Lateral,No,9,Yes,Yes
40,single,Associate Degree,Male,29,<15 kms,Company Website,3,29-09-2015,17-01-2016,24,6,Lateral,No,16,No,Yes
36,single,Associate Certification,Male,30,15-20 kms,Social Media,10,26-10-2015,18-01-2016,26,4,Lateral,No,12,Yes,Yes
41,married,Bachelor Degree,Male,13,<15 kms,Consultants,10,29-04-2015,26-08-2015,29,5,Vertical,No,17,Yes,No
36,single,Associate Degree,Male,11,<15 kms,Job Portals,8,12-06-2015,19-09-2015,77,8,Vertical,Yes,12,No,No
45,married,Associate Certification,Male,12,15-20 kms,Company Website,4,11-11-2015,27-02-2016,81,7,Vertical,No,21,No,No
34,married,Bachelor Degree,Male,14,15-20 kms,Job Portals,8,12-10-2015,09-01-2016,76,6,Lateral,No,10,Yes,No
25,married,Associate Degree,Male,10,> 20 kms,Social Media,8,11-05-2015,20-07-2015,20,1,Lateral,Yes,1,No,Yes
46,married,Associate Certification,Male,15,15-20 kms,Company Website,7,30-03-2015,18-06-2015,60,5,Lateral,Yes,22,No,No
32,married,Associate Certification,Male,14,<15 kms,Social Media,6,11-04-2015,31-07-2015,15,6,Lateral,Yes,8,No,Yes
39,single,Associate Degree,Male,14,> 20 kms,Job Portals,5,21-09-2015,23-12-2015,21,4,Lateral,No,9,No,Yes
37,divorced,Associate Degree,Male,10,> 20 kms,Internal Referrals,7,29-06-2015,26-10-2015,24,4,Lateral,Yes,13,No,Yes
40,married,Bachelor Degree,Male,13,15-20 kms,Company Website,7,07-01-2016,30-03-2016,68,4,Lateral,No,16,No,No
41,married,Bachelor Degree,Male,12,<15 kms,Consultants,3,09-06-2015,03-10-2015,24,7,Lateral,No,17,Yes,Yes
35,married,Bachelor Degree,Male,13,<15 kms,Social Media,3,25-03-2016,20-07-2016,27,4,Lateral,Yes,11,Yes,Yes
34,married,Associate Certification,Male,12,> 20 kms,Social Media,5,08-10-2015,02-02-2016,30,6,Lateral,Yes,10,No,Yes
26,married,Bachelor Degree,Male,12,> 20 kms,Company Website,3,05-11-2015,13-01-2016,28,2,Lateral,No,2,No,Yes
31,married,Associate Certification,Male,13,15-20 kms,Company Website,3,24-10-2015,10-02-2016,29,4,Lateral,No,7,Yes,Yes
32,married,Associate Certification,Male,10,> 20 kms,Internal Referrals,4,30-03-2015,04-07-2015,24,6,Lateral,Yes,8,Yes,Yes
36,married,Master Degree,Male,13,<15 kms,Company Website,3,23-09-2015,01-12-2015,48,8,Vertical,No,12,Yes,No
27,married,Associate Degree,Male,14,15-20 kms,Internal Referrals,4,08-01-2016,20-03-2016,20,5,Lateral,Yes,3,No,Yes
36,single,Master Degree,Male,10,<15 kms,Internal Referrals,7,01-10-2015,02-01-2016,29,4,Lateral,Yes,12,Yes,Yes
33,married,Associate Certification,Male,11,<15 kms,Job Portals,10,04-03-2016,16-05-2016,17,3,Lateral,No,5,No,Yes
37,single,Master Degree,Male,14,> 20 kms,Consultants,4,02-03-2015,13-06-2015,41,3,Vertical,Yes,13,Yes,No
29,married,Bachelor Degree,Male,12,> 20 kms,Job Portals,6,05-07-2015,15-10-2015,24,5,Lateral,No,5,Yes,Yes
25,divorced,Bachelor Degree,Male,10,15-20 kms,Internal Referrals,5,31-01-2016,19-04-2016,27,2,Lateral,No,1,No,Yes
28,divorced,Associate Degree,Male,15,15-20 kms,Job Portals,8,31-03-2016,09-05-2016,89,3,Lateral,No,4,No,No
31,single,Bachelor Degree,Male,10,15-20 kms,Job Portals,6,01-06-2015,27-07-2015,20,5,Lateral,No,7,Yes,Yes
37,married,Associate Degree,Male,15,<15 kms,Consultants,9,14-06-2015,01-09-2015,28,6,Vertical,Yes,13,No,No
40,married,Bachelor Degree,Male,14,15-20 kms,Social Media,5,13-02-2016,25-04-2016,69,5,Lateral,No,16,Yes,No
40,married,Master Degree,Male,13,> 20 kms,Consultants,3,16-09-2015,18-12-2015,27,5,Lateral,No,16,Yes,Yes
31,married,Associate Degree,Male,13,15-20 kms,Social Media,3,29-04-2015,22-06-2015,44,3,Vertical,No,7,No,No
41,married,Associate Degree,Male,12,<15 kms,Consultants,8,29-03-2016,19-05-2016,20,8,Lateral,Yes,17,Yes,Yes
38,married,Master Degree,Male,13,<15 kms,Internal Referrals,7,27-03-2016,04-06-2016,25,7,Lateral,No,14,Yes,Yes
37,single,Associate Degree,Male,11,15-20 kms,Job Portals,7,16-10-2015,04-12-2015,30,6,Vertical,No,13,No,No
25,married,Associate Degree,Male,12,> 20 kms,Social Media,4,07-03-2015,19-05-2015,30,1,Lateral,No,1,Yes,Yes
31,divorced,Associate Degree,Male,12,> 20 kms,Company Website,3,28-03-2015,03-06-2015,16,5,Lateral,No,7,Yes,Yes
25,married,Associate Certification,Male,14,<15 kms,Social Media,10,03-02-2016,31-05-2016,23,1,Lateral,No,1,Yes,Yes
32,married,Associate Degree,Male,12,<15 kms,Consultants,3,03-05-2015,25-08-2015,57,7,Vertical,Yes,8,Yes,No
45,single,Associate Certification,Male,13,<15 kms,Internal Referrals,8,02-05-2015,03-08-2015,27,8,Lateral,No,21,Yes,Yes
38,married,Associate Degree,Male,14,15-20 kms,Consultants,5,28-07-2015,31-10-2015,17,7,Lateral,Yes,14,No,Yes
31,married,Associate Degree,Male,10,15-20 kms,Job Portals,7,08-10-2015,15-01-2016,39,4,Vertical,No,7,Yes,No
34,married,Bachelor Degree,Male,13,<15 kms,Internal Referrals,4,10-03-2016,02-06-2016,27,8,Lateral,No,10,No,Yes
35,married,Associate Certification,Male,21,15-20 kms,Social Media,6,02-03-2015,16-06-2015,65,3,Lateral,No,11,No,No
28,married,Associate Certification,Male,21,> 20 kms,Company Website,3,29-03-2016,28-06-2016,76,5,Vertical,Yes,4,Yes,No
32,divorced,Associate Degree,Male,11,15-20 kms,Company Website,4,20-02-2016,22-05-2016,18,7,Lateral,No,8,No,Yes
44,married,Master Degree,Male,13,15-20 kms,Job Portals,7,25-12-2015,12-04-2016,31,7,Vertical,No,20,Yes,No
34,married,Associate Certification,Male,11,> 20 kms,Job Portals,4,03-11-2015,26-02-2016,22,3,Lateral,No,10,No,Yes
43,married,Master Degree,Male,14,<15 kms,Job Portals,7,25-10-2015,20-12-2015,29,8,Vertical,No,19,No,No
32,married,Bachelor Degree,Male,15,<15 kms,Job Portals,8,24-07-2015,21-10-2015,28,7,Lateral,No,8,Yes,No
45,married,Associate Degree,Male,12,> 20 kms,Company Website,5,05-02-2016,12-03-2016,87,4,Lateral,Yes,21,Yes,No
27,married,Associate Degree,Male,14,<15 kms,Social Media,3,26-03-2016,20-07-2016,30,3,Lateral,No,3,Yes,Yes
30,married,Associate Certification,Male,13,> 20 kms,Consultants,3,01-04-2015,12-05-2015,42,5,Lateral,Yes,6,No,No
37,married,Master Degree,Male,12,15-20 kms,Social Media,8,15-01-2016,18-03-2016,27,4,Lateral,No,13,Yes,Yes
32,married,Associate Degree,Male,11,15-20 kms,Consultants,3,21-11-2015,06-01-2016,34,5,Lateral,No,8,No,No
25,single,Bachelor Degree,Male,13,<15 kms,Social Media,9,07-03-2015,22-06-2015,21,2,Lateral,No,1,Yes,Yes
32,divorced,Associate Certification,Male,12,> 20 kms,Company Website,7,19-05-2015,24-08-2015,27,6,Lateral,No,8,No,Yes
26,married,Bachelor Degree,Male,11,15-20 kms,Social Media,6,28-08-2015,29-10-2015,22,1,Lateral,Yes,2,Yes,Yes
43,married,Master Degree,Male,15,> 20 kms,Job Portals,3,26-05-2015,03-07-2015,45,5,Vertical,Yes,19,No,No
46,married,Bachelor Degree,Male,13,> 20 kms,Internal Referrals,10,23-07-2015,15-09-2015,24,8,Lateral,No,22,Yes,Yes
34,married,Associate Certification,Male,12,<15 kms,Job Portals,3,15-02-2016,16-03-2016,25,8,Lateral,No,10,Yes,No
30,single,Associate Degree,Male,14,<15 kms,Job Portals,10,26-02-2016,21-06-2016,27,4,Lateral,No,6,Yes,Yes
43,married,Associate Degree,Male,10,<15 kms,Company Website,8,16-08-2015,18-11-2015,20,5,Lateral,Yes,19,Yes,Yes
40,single,Associate Certification,Male,15,<15 kms,Social Media,3,31-10-2015,01-01-2016,43,4,Lateral,Yes,16,No,No
44,married,Bachelor Degree,Male,13,> 20 kms,Company Website,6,04-10-2015,11-01-2016,28,4,Lateral,No,20,No,No
25,single,Associate Certification,Male,12,15-20 kms,Consultants,3,23-01-2016,04-05-2016,50,1,Lateral,Yes,1,Yes,No
27,single,Bachelor Degree,Male,25,<15 kms,Social Media,5,18-03-2015,29-05-2015,61,5,Vertical,Yes,6,No,No
30,divorced,Associate Certification,Male,14,> 20 kms,Internal Referrals,8,04-12-2015,23-03-2016,23,5,Lateral,No,6,No,Yes
36,single,Associate Certification,Male,11,<15 kms,Consultants,6,07-04-2015,12-07-2015,29,5,Lateral,Yes,12,Yes,Yes
28,married,Associate Certification,Male,10,> 20 kms,Company Website,5,06-02-2016,19-05-2016,54,5,Vertical,No,4,No,No
39,married,Associate Certification,Male,13,> 20 kms,Internal Referrals,3,28-12-2015,04-04-2016,19,3,Lateral,No,12,Yes,Yes
42,married,Master Degree,Male,20,<15 kms,Job Portals,3,08-11-2015,14-12-2015,36,6,Lateral,Yes,18,Yes,No
45,divorced,Bachelor Degree,Male,14,<15 kms,Company Website,4,17-12-2015,12-02-2016,69,4,Lateral,No,21,No,No
26,married,Associate Degree,Male,12,15-20 kms,Job Portals,5,17-06-2015,02-09-2015,15,2,Lateral,No,2,No,Yes
27,married,Associate Certification,Male,25,> 20 kms,Job Portals,5,25-06-2015,21-10-2015,28,4,Lateral,Yes,3,Yes,No
27,divorced,Associate Degree,Male,13,15-20 kms,Consultants,3,20-11-2015,09-03-2016,24,5,Lateral,No,3,Yes,Yes
34,married,Associate Degree,Male,10,> 20 kms,Company Website,8,01-02-2016,29-05-2016,26,5,Lateral,Yes,10,Yes,Yes
34,married,Bachelor Degree,Male,12,15-20 kms,Consultants,4,20-01-2016,15-03-2016,48,3,Vertical,Yes,10,No,No
33,married,Associate Certification,Male,10,> 20 kms,Social Media,7,11-01-2016,16-04-2016,66,6,Lateral,No,9,No,No
25,married,Associate Degree,Male,10,15-20 kms,Company Website,3,16-06-2015,11-08-2015,18,1,Lateral,Yes,1,No,Yes
44,married,Associate Degree,Male,15,<15 kms,Social Media,8,02-04-2015,23-05-2015,42,6,Lateral,Yes,20,Yes,No
43,married,Associate Degree,Male,13,> 20 kms,Social Media,3,14-09-2015,21-11-2015,16,5,Lateral,No,19,No,Yes
25,married,Associate Degree,Male,20,> 20 kms,Job Portals,3,26-07-2015,06-10-2015,69,1,Vertical,Yes,1,No,No
38,married,Associate Degree,Male,10,15-20 kms,Internal Referrals,3,19-03-2015,13-06-2015,78,4,Vertical,Yes,14,Yes,No
25,married,Associate Certification,Male,13,> 20 kms,Company Website,4,28-07-2015,13-10-2015,20,1,Lateral,Yes,1,Yes,Yes
25,divorced,Bachelor Degree,Male,15,15-20 kms,Social Media,7,03-01-2016,17-04-2016,87,1,Vertical,Yes,1,Yes,No
37,married,Associate Degree,Male,15,> 20 kms,Company Website,10,07-01-2016,05-03-2016,56,3,Vertical,No,13,No,No
40,married,Associate Degree,Male,10,<15 kms,Social Media,8,17-08-2015,30-11-2015,59,4,Lateral,Yes,16,Yes,No
31,married,Associate Certification,Male,12,15-20 kms,Internal Referrals,10,04-03-2016,19-06-2016,62,4,Lateral,No,7,No,No
39,married,Associate Certification,Male,12,15-20 kms,Internal Referrals,5,22-11-2015,20-02-2016,21,7,Vertical,Yes,15,No,Yes
35,married,Bachelor Degree,Male,10,<15 kms,Social Media,9,18-12-2015,09-02-2016,17,3,Lateral,No,7,Yes,Yes
25,married,Associate Certification,Male,25,> 20 kms,Consultants,6,07-02-2016,07-04-2016,64,1,Lateral,No,1,No,No
31,married,Associate Degree,Male,10,<15 kms,Internal Referrals,3,15-12-2015,05-04-2016,24,4,Lateral,Yes,7,No,Yes
40,married,Associate Degree,Male,18,15-20 kms,Consultants,8,27-01-2016,03-05-2016,26,8,Vertical,Yes,16,No,No
27,single,Associate Degree,Male,12,15-20 kms,Company Website,10,31-07-2015,05-09-2015,53,4,Lateral,No,3,Yes,No
46,married,Master Degree,Male,14,15-20 kms,Social Media,8,27-06-2015,15-10-2015,44,8,Lateral,Yes,22,No,No
31,married,Associate Degree,Male,23,15-20 kms,Consultants,4,21-07-2015,30-08-2015,38,3,Vertical,Yes,7,Yes,No
41,married,Master Degree,Male,13,<15 kms,Job Portals,10,23-05-2015,24-07-2015,31,3,Lateral,No,17,Yes,No
28,divorced,Associate Degree,Male,13,15-20 kms,Social Media,3,07-02-2016,19-04-2016,45,3,Vertical,Yes,4,Yes,No
29,married,Bachelor Degree,Male,24,15-20 kms,Company Website,9,16-03-2016,04-05-2016,94,5,Vertical,No,5,Yes,No
38,married,Bachelor Degree,Male,12,> 20 kms,Company Website,9,05-04-2015,29-07-2015,23,3,Lateral,No,11,Yes,Yes
42,married,Associate Certification,Male,12,> 20 kms,Job Portals,3,13-12-2015,27-01-2016,56,7,Vertical,Yes,18,No,No
45,married,Associate Certification,Male,11,<15 kms,Consultants,8,20-09-2015,25-11-2015,19,7,Lateral,Yes,21,No,Yes
27,married,Associate Degree,Male,10,<15 kms,Internal Referrals,3,19-05-2015,06-09-2015,22,5,Vertical,Yes,3,No,Yes
38,single,Master Degree,Male,13,<15 kms,Consultants,10,19-08-2015,27-10-2015,30,3,Vertical,No,14,Yes,No
30,single,Associate Certification,Male,11,<15 kms,Social Media,9,27-03-2015,02-06-2015,18,4,Lateral,No,6,Yes,Yes
41,married,Associate Degree,Male,15,<15 kms,Social Media,4,23-03-2016,28-06-2016,59,6,Lateral,No,17,Yes,No
34,married,Bachelor Degree,Male,11,15-20 kms,Company Website,10,18-10-2015,31-12-2015,22,3,Lateral,No,6,Yes,Yes
39,married,Associate Certification,Male,19,15-20 kms,Company Website,3,13-04-2015,20-06-2015,55,8,Lateral,Yes,15,Yes,No
37,married,Associate Degree,Male,10,<15 kms,Company Website,3,11-04-2015,06-06-2015,28,8,Lateral,Yes,13,No,Yes
42,married,Bachelor Degree,Male,14,15-20 kms,Company Website,10,02-11-2015,26-01-2016,21,6,Vertical,No,18,Yes,Yes
43,married,Associate Degree,Male,13,15-20 kms,Social Media,8,22-09-2015,14-01-2016,20,6,Vertical,Yes,19,Yes,Yes
43,married,Master Degree,Male,14,<15 kms,Job Portals,9,26-09-2015,24-01-2016,90,7,Vertical,No,19,No,No
26,married,Bachelor Degree,Male,10,15-20 kms,Consultants,3,25-12-2015,07-03-2016,55,1,Lateral,No,2,Yes,No
44,married,Associate Degree,Male,11,> 20 kms,Job Portals,8,07-11-2015,02-01-2016,72,5,Vertical,Yes,20,Yes,No
45,married,Associate Certification,Male,14,15-20 kms,Social Media,8,03-06-2015,04-09-2015,20,7,Lateral,No,21,No,Yes
38,married,Associate Degree,Male,18,15-20 kms,Internal Referrals,10,17-07-2015,08-11-2015,59,6,Lateral,Yes,14,Yes,No
44,married,Master Degree,Male,13,15-20 kms,Social Media,10,24-03-2015,26-05-2015,29,7,Lateral,No,20,No,Yes
27,married,Associate Degree,Male,14,> 20 kms,Consultants,6,15-03-2015,09-07-2015,94,3,Vertical,Yes,3,No,No
27,married,Associate Certification,Male,12,> 20 kms,Company Website,3,07-01-2016,15-03-2016,30,3,Lateral,No,3,Yes,Yes
41,single,Master Degree,Male,12,<15 kms,Consultants,9,22-03-2015,15-06-2015,25,7,Lateral,No,17,Yes,Yes
42,married,Associate Certification,Male,13,<15 kms,Consultants,6,31-03-2015,23-06-2015,33,4,Vertical,No,18,Yes,No
31,married,Associate Degree,Male,12,> 20 kms,Company Website,3,21-06-2015,24-08-2015,27,3,Lateral,No,7,Yes,Yes
46,married,Associate Certification,Male,13,15-20 kms,Social Media,3,15-05-2015,26-08-2015,16,6,Vertical,No,22,Yes,Yes
45,single,Associate Certification,Male,15,15-20 kms,Social Media,3,07-03-2016,27-04-2016,79,3,Lateral,No,21,Yes,No
36,married,Bachelor Degree,Male,20,15-20 kms,Social Media,5,10-07-2015,14-08-2015,86,4,Lateral,Yes,12,Yes,No
45,married,Master Degree,Male,12,<15 kms,Company Website,3,27-03-2015,07-07-2015,27,6,Lateral,Yes,21,No,Yes
38,married,Master Degree,Male,27,15-20 kms,Internal Referrals,7,17-10-2015,01-02-2016,76,4,Lateral,No,14,No,No
38,married,Associate Degree,Male,10,<15 kms,Company Website,3,23-12-2015,30-03-2016,19,5,Lateral,Yes,14,No,Yes
27,divorced,Associate Certification,Male,13,15-20 kms,Social Media,3,15-01-2016,11-05-2016,27,3,Vertical,Yes,3,No,Yes
27,divorced,Associate Certification,Male,25,15-20 kms,Consultants,5,30-06-2015,18-09-2015,35,3,Lateral,Yes,3,Yes,No
35,married,Associate Degree,Male,12,15-20 kms,Company Website,3,11-10-2015,01-02-2016,23,6,Lateral,Yes,11,Yes,Yes
26,married,Bachelor Degree,Male,14,> 20 kms,Consultants,7,05-01-2016,25-04-2016,22,2,Vertical,Yes,2,Yes,Yes
39,married,Master Degree,Male,10,<15 kms,Consultants,4,20-10-2015,22-12-2015,23,4,Lateral,Yes,9,No,Yes
27,married,Associate Certification,Male,12,<15 kms,Consultants,3,22-08-2015,25-11-2015,27,5,Lateral,No,3,Yes,Yes
36,married,Associate Certification,Male,18,<15 kms,Consultants,5,08-07-2015,14-09-2015,42,3,Vertical,No,12,No,No
38,married,Associate Certification,Male,13,<15 kms,Company Website,7,20-04-2015,12-08-2015,18,4,Vertical,No,14,No,Yes
25,married,Bachelor Degree,Male,10,15-20 kms,Consultants,3,01-04-2015,23-05-2015,15,2,Vertical,Yes,1,Yes,Yes
34,single,Associate Degree,Male,10,15-20 kms,Internal Referrals,5,31-03-2015,12-07-2015,69,3,Vertical,Yes,10,Yes,No
34,single,Associate Degree,Male,12,<15 kms,Company Website,8,08-02-2016,27-04-2016,27,4,Vertical,No,10,No,Yes
29,married,Bachelor Degree,Male,11,15-20 kms,Company Website,6,20-10-2015,07-01-2016,18,5,Vertical,No,5,Yes,Yes
39,married,Associate Degree,Male,30,> 20 kms,Company Website,4,03-07-2015,03-08-2015,91,4,Lateral,No,15,Yes,No
34,married,Bachelor Degree,Male,24,15-20 kms,Internal Referrals,4,07-12-2015,09-02-2016,68,6,Vertical,Yes,10,No,No
35,married,Master Degree,Male,13,> 20 kms,Consultants,9,20-12-2015,26-03-2016,24,4,Lateral,No,11,Yes,Yes
37,single,Associate Certification,Male,10,> 20 kms,Job Portals,3,25-09-2015,23-12-2015,30,6,Lateral,No,13,Yes,Yes
40,married,Associate Certification,Male,10,15-20 kms,Internal Referrals,5,09-03-2016,29-04-2016,27,4,Lateral,Yes,10,Yes,Yes
28,married,Associate Degree,Male,30,15-20 kms,Social Media,3,18-06-2015,14-10-2015,81,4,Vertical,No,4,No,No
32,married,Associate Certification,Male,22,<15 kms,Internal Referrals,3,20-12-2015,28-03-2016,66,7,Vertical,Yes,8,Yes,No
29,single,Associate Degree,Male,10,> 20 kms,Job Portals,9,23-11-2015,13-03-2016,29,3,Vertical,Yes,5,Yes,Yes
35,married,Associate Degree,Male,12,<15 kms,Company Website,8,28-12-2015,15-04-2016,18,5,Vertical,Yes,11,No,Yes
34,married,Associate Degree,Male,10,15-20 kms,Consultants,3,05-01-2016,11-04-2016,21,3,Lateral,No,6,Yes,Yes
33,married,Associate Certification,Male,10,15-20 kms,Social Media,8,13-02-2016,08-04-2016,17,3,Lateral,Yes,5,No,Yes
44,married,Associate Certification,Male,15,<15 kms,Job Portals,9,28-04-2015,19-06-2015,80,3,Lateral,No,20,Yes,No
37,married,Associate Degree,Male,13,<15 kms,Social Media,4,28-06-2015,03-09-2015,26,4,Lateral,No,13,No,Yes
28,single,Associate Certification,Male,12,> 20 kms,Internal Referrals,3,19-10-2015,08-02-2016,26,5,Lateral,Yes,4,Yes,Yes
35,single,Bachelor Degree,Male,13,<15 kms,Social Media,3,22-02-2016,06-05-2016,22,3,Vertical,Yes,11,Yes,Yes
29,married,Associate Degree,Male,12,<15 kms,Company Website,7,05-11-2015,27-02-2016,22,5,Lateral,Yes,5,No,Yes
29,married,Associate Degree,Male,10,15-20 kms,Company Website,3,25-02-2016,24-04-2016,51,4,Lateral,Yes,5,No,No
44,married,Master Degree,Male,10,<15 kms,Company Website,9,29-03-2015,26-07-2015,30,8,Vertical,Yes,20,Yes,Yes
